uei,start,end,state,location,deaths
UEI-IMD-FL-2018-0001,2018-03-19,2018-03-19,Andhra Pradesh,,
UEI-IMD-FL-2018-0082,2018-03-19,2018-03-19,Telangana,,
UEI-IMD-FL-2018-0084,2018-04-06,2018-04-06,Uttar Pradesh,,1.0
UEI-IMD-FL-2018-0085,2018-04-11,2018-04-11,Uttar Pradesh,,17.0
UEI-IMD-FL-2018-0047,2018-04-15,2018-04-15,Maharashtra,,
UEI-IMD-FL-2018-0031,2018-04-22,2018-04-22,Kerala,,
UEI-IMD-FL-2018-0002,2018-05-01,2018-05-01,Andhra Pradesh,,6.0
UEI-IMD-FL-2018-0014,2018-05-09,2018-05-09,Jammu & Kashmir,,
UEI-IMD-FL-2018-0022,2018-05-10,2018-05-10,Karnataka,,
UEI-IMD-FL-2018-0032,2018-05-13,2018-05-14,Kerala,,
UEI-IMD-FL-2018-0064,2018-05-13,2018-05-13,Mizoram,,1.0
UEI-IMD-FL-2018-0033,2018-05-16,2018-05-17,Kerala,,
UEI-IMD-FL-2018-0078,2018-05-20,2018-05-20,Tamil Nadu,,1.0
UEI-IMD-FL-2018-0083,2018-05-20,2018-05-20,Tripura,,6.0
UEI-IMD-FL-2018-0034,2018-05-21,2018-05-21,Kerala,,1.0
UEI-IMD-FL-2018-0048,2018-05-27,2018-05-27,Maharashtra,,1.0
UEI-IMD-FL-2018-0023,2018-05-29,2018-05-29,Karnataka,,1.0
UEI-IMD-FL-2018-0035,2018-05-29,2018-07-31,Kerala,,138.0
UEI-IMD-FL-2018-0049,2018-06-01,2018-06-02,Maharashtra,,
UEI-IMD-FL-2018-0024,2018-06-02,2018-06-02,Karnataka,,2.0
UEI-IMD-FL-2018-0025,2018-06-03,2018-06-04,Karnataka,,
UEI-IMD-FL-2018-0050,2018-06-06,2018-06-06,Maharashtra,,1.0
UEI-IMD-FL-2017-0029,2018-06-08,2018-06-08,Himachal Pradesh,,3.0
UEI-IMD-FL-2018-0026,2018-06-08,2018-06-11,Karnataka,,2.0
UEI-IMD-FL-2018-0086,2018-06-08,2018-06-08,Uttar Pradesh,,10.0
UEI-IMD-FL-2018-0051,2018-06-10,2018-06-10,Maharashtra,,5.0
UEI-IMD-FL-2018-0052,2018-06-11,2018-06-11,Maharashtra,,
UEI-IMD-FL-2018-0027,2018-06-12,2018-06-14,Karnataka,,
UEI-IMD-FL-2018-0005,2018-06-14,2018-06-29,Assam,,32.0
UEI-IMD-FL-2018-0041,2018-06-22,2018-06-22,Madhya Pradesh,,1.0
UEI-IMD-FL-2018-0009,2018-06-25,2018-06-26,Gujarat,,4.0
UEI-IMD-FL-2018-0053,2018-06-25,2018-06-25,Maharashtra,,8.0
UEI-IMD-FL-2018-0118,2018-06-25,2018-06-25,West Bengal,,1.0
UEI-IMD-FL-2018-0028,2018-06-28,2018-06-28,Karnataka,,
UEI-IMD-FL-2018-0070,2018-06-28,2018-06-28,Rajasthan,,4.0
UEI-IMD-FL-2018-0015,2018-07-03,2018-07-03,Jammu & Kashmir,,3.0
UEI-IMD-FL-2018-0054,2018-07-03,2018-07-03,Maharashtra,,1.0
UEI-IMD-FL-2018-0055,2018-07-07,2018-07-07,Maharashtra,,4.0
UEI-IMD-FL-2018-0056,2018-07-08,2018-07-08,Maharashtra,,3.0
UEI-IMD-FL-2018-0057,2018-07-10,2018-07-10,Maharashtra,,1.0
UEI-IMD-FL-2018-0058,2018-07-11,2018-07-11,Maharashtra,,4.0
UEI-IMD-FL-2018-0087,2018-07-11,2018-07-11,Uttar Pradesh,,7.0
UEI-IMD-FL-2018-0116,2018-07-11,2018-07-11,Uttarakhand,,7.0
UEI-IMD-FL-2018-0042,2018-07-12,2018-07-12,Madhya Pradesh,,1.0
UEI-IMD-FL-2018-0010,2018-07-13,2018-07-13,Gujarat,,1.0
UEI-IMD-FL-2018-0088,2018-07-13,2018-07-13,Uttar Pradesh,,1.0
UEI-IMD-FL-2018-0066,2018-07-15,2018-07-24,Odisha,,12.0
UEI-IMD-FL-2018-0011,2018-07-17,2018-07-17,Gujarat,,27.0
UEI-IMD-FL-2018-0043,2018-07-17,2018-07-17,Madhya Pradesh,,1.0
UEI-IMD-FL-2018-0059,2018-07-21,2018-07-21,Maharashtra,,
UEI-IMD-FL-2018-0016,2018-07-23,2018-07-25,Jammu & Kashmir,,
UEI-IMD-FL-2018-0119,2018-07-23,2018-07-23,West Bengal,,2.0
UEI-IMD-FL-2018-0071,2018-07-24,2018-07-24,Rajasthan,,4.0
UEI-IMD-FL-2018-0072,2018-07-25,2018-07-25,Rajasthan,,5.0
UEI-IMD-FL-2018-0089,2018-07-26,2018-07-26,Uttar Pradesh,,17.0
UEI-IMD-FL-2018-0090,2018-07-27,2018-07-27,Uttar Pradesh,,33.0
UEI-IMD-FL-2018-0091,2018-07-28,2018-07-28,Uttar Pradesh,,27.0
UEI-IMD-FL-2018-0006,2018-07-29,2018-07-31,Assam,,2.0
UEI-IMD-FL-2018-0092,2018-07-29,2018-07-29,Uttar Pradesh,,7.0
UEI-IMD-FL-2018-0093,2018-07-30,2018-07-30,Uttar Pradesh,,8.0
UEI-IMD-FL-2018-0094,2018-07-31,2018-07-31,Uttar Pradesh,,19.0
